py,ch,en
áo,遨,"make excursion / ramble / travel
to make excursion / to ramble / to travel"
ǎo,袄,coat / jacket / short and lined coat or robe
ǎo,媪,old woman
ào,懊,to regret
ào,澳,"Australia / deep bay / cove / bay / harbor / (abbrev) Macao
deep bay / cove / harbor"
ào,奥,obscure / mysterious
ào,傲,"proud / overbearing / insolent / arrogant
proud / arrogant / to despise / unyielding / to defy"
ào,坳,a depression / cavity / hollow
áo,骜,a noble steed / untamed
ǎo,拗,"bend / break in two, stubborn / contrary
stubborn / obstinate"
bā,芭,a herb / banana
bā,疤,"scar
scar / scab"
bā,粑,"tsamba (food in Tibet)
a round flat cake (dialect)"
bā,巴,"(suff. for certain nouns) / to hope / to wish / Palestinian, Palestine (abbrev.) / Pakistan (abbrev.) / Pascal (unit of pressure)
to long for / to wish / to cling to / to stick to / sth that sticks / close to / next to / spread open / informal abbr. for bus 巴士[ba1 shi4] / bar (unit of pressure) / nominalizing suffix on certain nouns, such as 尾巴[wei3 ba5], tail"
bā,捌,"complicated form of the numeral eight / split
eight (banker's anti-fraud numeral) / split"
bā,叭,"denote a sound or sharp noise (gunfire, etc.)"
bā,八,eight / 8
bā,笆,an article made of bamboo strips / fence
ba,吧,"(onomat.) / dumb, (modal particle indicating polite suggestion) / ...right? / ...OK?
(modal particle indicating suggestion or surmise) / ...right? / ...OK? / ...I presume."
bā,扒,"climb / pull (out) / to strip / hold on to / cling to / dig up / rake / push aside, climb / crawl / snatch
to rake up / to steal / to braise / to crawl"
bá,拔,"pull up / pull out / select / promote
to pull up / to pull out / to draw out by suction / to select / to pick / to stand out (above level) / to surpass / to seize"
bá,跋,"travel / walk
postscript / to trek across mountains"
bá,茇,betel
bá,魃,drought demon
bá,菝,smilax china
bǎ,靶,target / mark
bǎ,钯,"palladium
archaic variant of 耙[pa2]"
bǎ,把,"(a measure word) / (marker for direct-object) / to hold / to contain / to grasp / to take hold of, handle
handle"
bà,霸,"feudal chief / rule by force / tyrant / lord / master / hegemon / usurp
hegemon / tyrant / lord / feudal chief / to rule by force / to usurp / (in modern advertising) master"
bà,灞,name of a river
bà,坝,dam / dike / embankment / CL:條|条[tiao2]
bà,爸,father / dad / pa / papa
bà,罢,"to stop / cease / dismiss / suspend / to quit / to finish, (final part.)
(final particle, same as 吧)"
bà,耙,"a rake / harrow, a rake
a rake"
bāi,掰,"to break with both hands
to break off or break open sth with one's hands / (fig.) to break off (a relationship)"
bái,白,"white / snowy / empty / blank / bright / clear / plain / pure / gratuitous
white / snowy / pure / bright / empty / blank / plain / clear / to make clear / in vain / gratuitous / free of charge / reactionary / anti-communist / funeral / to stare coldly / to write wrong character / to state / to explain / vernacular / spoken lines in opera"
bǎi,百,"hundred
hundred / numerous / all kinds of"
bǎi,摆,"pendulum / to place / to display / to swing / to oscillate / to show / to move / to exhibit
to arrange / to exhibit / to move to and fro / a pendulum"
bǎi,佰,"(complicated form of) hundred (used to avoid fraud)
hundred (banker's anti-fraud numeral)"
bǎi,捭,"spread out / to open, weed
variant of 擘[bo4] / to separate / to split"
bǎi,柏,"(surname) / cedar / cypress, cypress / cedar
variant of 柏[bai3]"
bài,稗,"millet / Panicum crus
polished rice / old variant of 稗[bai4]"
bài,败,"be defeated / to defeat / loss
to defeat / to damage / to lose (to an opponent) / to fail / to wither"
bài,拜,to pay respect / worship / visit / salute
bài,呗,"to chant
modal particle indicating indicating lack of enthusiasm / modal particle indicating that things should only or can only be done a certain way"
bān,颁,to promulgate / to send out / to issue / to grant or confer
bān,斑,"variegated
spot / colored patch / stripe / spotted / striped / variegated"
bān,瘢,mark / scar on the skin
bān,搬,"remove / transport / move / shift
to move (i.e. relocate oneself) / to move (sth relatively heavy or bulky) / to shift / to copy indiscriminately"
bān,般,"sort / kind / class / way / manner
see 般樂|般乐[pan2 le4]"
bān,班,"team / class / rank / squad / a work shift / a measure word / (a surname)
team / class / squad / work shift / ranking / CL:個|个[ge4] / classifier for groups"
bān,扳,"to pull or draw (up or out), climb up / pull
variant of 攀[pan1]"
bǎn,钣,metal plate / sheet of metal
bǎn,舨,sampan
bǎn,版,a register / a block of printing / an edition / version / page
bǎn,板,"board / plank / plate / slab, boss
to catch sight of in a doorway (old)"
bǎn,阪,a slope / hillside
bàn,拌,to mix / to mix in / to toss (a salad)
bàn,伴,a partner / companion or associate / to accompany / comrade
bàn,瓣,"petal / section
petal / segment / clove (of garlic) / piece / section / fragment / valve / lamella / classifier for pieces, segments etc"
bàn,扮,"to disguise oneself / to dress up / adorn
to disguise oneself as / to dress up / to play (a role) / to put on (an expression)"
bàn,办,to do / to manage / to handle / to go about / to run / to set up / to deal with
bàn,半,half / semi- / incomplete / (after a number) and a half / half
bàn,绊,to trip / to stumble / to hinder
bāng,帮,"to assist / to support / to help / group / gang / party
to help / to assist / to support / for sb (i.e. as a help) / hired (as worker) / side (of pail, boat etc) / outer layer / upper (of a shoe) / group / gang / clique / party / secret society"
bāng,邦,"a state / country or nation
country / nation / state"
bāng,梆,watchman's rattle
bāng,浜,"stream / creek
Japanese variant of 濱|滨[bin1] / used in Japanese place names such as Yokohama 橫浜|横浜[Heng2 bin1] with phonetic value hama"
bàng,傍,"near (approaching), near / nestle
near / approaching / to depend on / (slang) to have an intimate relationship with sb / Taiwan pr. [pang2], [bang1], [bang4]"
bǎng,榜,"a notice or announcement / a list of names / public roll of successful examinees
variant of 榜[bang3]"
bǎng,绑,to tie / bind or fasten together / to kidnap
bǎng,膀,"upper arm / wing, to flirt, puffed (swollen), bladder
old variant of 膀[bang3]"
bàng,棒,"a stick / club or cudgel / smart / capable / strong
stick / club / cudgel / smart / capable / strong / wonderful / classifier for legs of a relay race"
bàng,镑,pound (sterling) (loanword)
bàng,谤,to slander / to defame / to speak ill of
bàng,蚌,"oysters / mussels
mussel / clam"
bàng,蒡,Arctium lappa / great burdock
bàng,磅,"a measure word / pound (unit of measurement) / scale / weigh
see 磅秤 scale / platform balance / (loanword) pound (unit of weight, about 454 grams)"
bāo,胞,"the placenta / womb
placenta / womb / born of the same parents"
bāo,褒,"to praise
variant of 褒[bao1]"
bāo,包,"to cover / to wrap / to hold / to include / to take charge of / to contract (to or for) / package / wrapper / container / bag / to hold or embrace / bundle / packet / CL:個|个[ge4],隻|只[zhi1]"
bāo,孢,spore
bāo,煲,"pot or saucepan / to boil / cook or heat
to cook slowly over a low flame / pot / saucepan"
bāo,苞,"flower calyx / luxuriant / profuse
bud / flower calyx / luxuriant / profuse"
báo,雹,hail
bǎo,鸨,Chinese bustard / procuress
bǎo,宝,a jewel or gem / a treasure / precious
bǎo,饱,to eat till full / satisfied
bǎo,褓,cloth for carrying baby on back
bǎo,保,to defend / to protect / to insure or guarantee / to maintain / hold or keep / to guard
bǎo,葆,dense foliage / to cover
bǎo,堡,"an earthwork / castle / position of defense / stronghold, character used in place names
variant of 鋪|铺[pu4] / used in place names"
bào,报,"to announce / to inform / report / newspaper / recompense / revenge / CL:份[fen4],張|张[zhang1]"
bào,暴,sudden / violent / cruel / to show or expose / to injure
bào,豹,leopard / panther
bào,鲍,abalone
bào,抱,to hold / to carry (in one's arms) / to hug / to embrace / to surround / to cherish
bào,爆,"to crack / to explode or burst
to explode or burst / to quick fry or quick boil"
bào,趵,jump / leap
bào,刨,"a plane / to plane / level or make smooth, a plane / to plane, eliminate / to dig / to question
variant of 刨[bao4]"
pù,瀑,"shower (rain), waterfall
waterfall"
bēi,杯,"cup / a measure word
variant of 杯[bei1] / trophy cup / classifier for certain containers of liquids: glass, cup"
bēi,悲,sad / sadness / sorrow / grief
bēi,卑,low / base / vulgar / inferior / humble
bēi,碑,"a monument / an upright stone tablet / stele / CL:塊|块[kuai4],面[mian4]"
bēi,鹎,"bird
the Pycnonotidae or bulbul family of birds"
bèi,背,"carry on one's back, to be burdened / to carry on the back or shoulder, learn by heart / the back of the body
the back of a body or object / to turn one's back / to hide something from / to learn by heart / to recite from memory / unlucky (slang) / hard of hearing"
běi,北,"north
north / to be defeated (classical)"
bèi,被,"by (marker for passive-voice sentences or clauses) / quilt / blanket / to cover / to wear
quilt / by / (indicates passive-voice clauses) / (literary) to cover / to meet with"
bèi,贝,"cowries / shell / valuables / shellfish
cowrie / shellfish / currency (archaic)"
bèi,碚,"place name in Chongqing
(used in place names)"
bèi,褙,paper or cloth pasted together
bèi,狈,a legendary wolf / distressed / wretched
bèi,蓓,(flower) bud
bèi,辈,"contemporaries / generation / lifetime
lifetime / generation / group of people / class / classifier for generations / (literary) classifier for people"
bèi,钡,"barium
barium (chemistry)"
bèi,悖,"perverse / rebellious / to rebel
old variant of 悖[bei4]"
bèi,备,to prepare / get ready / to provide or equip
bèi,邶,name of a feudal state
bèi,倍,"(two, three, etc) -fold / times (multiplier) / double / to increase or multiply"
bèi,焙,to dry over a fire / to bake
bèi,惫,exhausted
bèi,孛,comet
bēn,锛,adz / adze
bēn,奔,"to hurry or rush / to run quickly / to elope, go to / towards
variant of 奔[ben1] / variant of 奔[ben4]"
bì,贲,"energetic, bright
bright"
běn,畚,a basket or pan used for earth / manure etc
běn,本,"roots or stems of plants / origin / source / this / the current / root / foundation / basis / (a measure word)
root / stem / origin / source / this / the current / original / inherent / originally / classifier for books, periodicals, files etc"
běn,苯,"benzene
benzene / benzol (chemistry)"
bèn,坌,"bring together / dust
variant of 坋[ben4] / old variant of 笨[ben4]"
bèn,笨,stupid / foolish / silly / slow-witted / clumsy
bēng,崩,"collapse / fall into ruins
to collapse / to fall into ruins / death of king or emperor / demise"
bēng,绷,"to stretch / taut / to tie / to bind, to have a taut face
to have a taut face"
béng,甭,"need not
need not / (contraction of 不 and 用)"
bèng,蹦,to jump / to bounce / to hop
bèng,迸,to burst forth / to spurt / to crack / split
bī,逼,"close to / compel, force / compel / drive / press for / extort / press on towards / press up to / close in on / close
to force (sb to do sth) / to compel / to press for / to extort / to press on towards / to press up to / to close in on / used in the place of 屄[bi1], cunt"
bǐ,匕,"an ancient type of spoon, dagger / ladle
dagger / ladle / ancient type of spoon"
bí,鼻,nose
bí,荸,"water chestnut
see 荸薺|荸荠[bi2 qi2]"
bǐ,俾,to cause / to enable / phonetic bi
bǐ,妣,deceased mother
bǐ,秕,"grain not fully grown / husks / withered grain / unripe grain
variant of 秕[bi3]"
bǐ,鄙,rustic / low / base / mean / to despise / to scorn
bǐ,彼,that / those / (one) another)
bǐ,笔,"pen / pencil / writing brush / to write or compose / the strokes of Chinese characters / classifier for sums of money, deals / CL:支[zhi1],枝[zhi1]"
bǐ,比,"(particle used for comparison and ""-er than"") / to compare / to contrast / to gesture (with hands) / ratio, associate with / be near
to associate with / to be near"
bì,弊,detriment / fraud / harm / defeat
bì,庇,to protect / cover / shelter / hide or harbor
bì,嬖,(treat as a) favorite
bì,毙,"die violently
to collapse / variant of 斃|毙[bi4] / variant of 獙[bi4]"
bì,畀,"confer on / give to
to confer on / to give to"
bì,荜,bean / pulse
bì,篦,fine-toothed comb / to comb
bì,襞,creases / folds or pleats in a garment
bì,毕,the whole of / to finish / to complete / complete / full / finished
bì,璧,"piece of jade with hole in center
jade annulus"
bì,薜,Ficus pumila
bì,臂,arm
bì,闭,to close / to stop up / to shut / to obstruct
bì,铋,"bismuth
bismuth (chemistry)"
bì,敝,my (polite) / poor / ruined / shabby / worn out / defeated
bēi,庳,low-built house
bì,必,certainly / must / will / necessarily
bì,毖,careful / to prevent
pì,萆,castor seed
bì,婢,slave girl / maid servant
bì,壁,wall / rampart
bì,哔,"beiges / serge
(phonetic)"
bì,避,"avoid / shun / flee / escape / leave / to keep away / to leave / to hide
to avoid / to shun / to flee / to escape / to keep away from / to leave / to hide from"
bì,筚,wicker
bì,愎,perverse / obstinate / willful
bì,蓖,the castor-oil plant
bì,狴,(tapir)
bì,跸,to clear streets when emperor tours
bì,币,money / coins / currency / silk
bì,弼,to assist
bì,痹,"paralysis, numbness, numb / paralysis
paralysis / numbness"
bì,蔽,to cover / to shield / to screen / to conceal
bì,髀,buttocks / thigh
bì,碧,green jade / bluish green / blue / jade
bì,陛,the steps to the throne
mì,泌,"secrete / pour off
to secrete / to excrete / also pr. [bi4]"
bì,裨,"to benefit / to aid / advantageous / profitable, (surname) / assistant / small
subordinate / secondary / small"
bì,睥,look askance
pì,辟,"king / emperor / monarch / royal / ward off, law, dispel / open up / refute
to open (a door) / to open up (for development) / to dispel / to refute / to repudiate"
biān,鞭,"a whip or lash / to flog / slash or whip
whip or lash / to flog / to whip / conductor's baton / segmented iron weapon (old) / penis (of animal, served as food)"
biān,编,"weave / plait / organize / group / arrange / edit / compile / write / compose / fabricate
to weave / to plait / to organize / to group / to arrange / to edit / to compile / to write / to compose / to fabricate"
biān,蝙,"bat
bat / also pr. [bian3]"
biān,边,"side / edge / margin / border / boundary
suffix of a noun of locality"
biān,笾,basket for fruits
biān,砭,"a stone probe / acupuncture
ancient stone acupuncture needle / to criticize / to pierce"
biǎn,贬,to diminish / to demote / to reduce or devaluate / to disparage / to censure / to depreciate
biǎn,窆,"put a coffin in grave
to put a coffin in the grave"
biǎn,褊,narrow / urgent
biǎn,扁,"flat / tablet / inscription, (surname) / small boat, Polygonum aviculare
small boat"
biǎn,匾,"a tablet / a board with an inscription / a sign hung above a door, basket-couch in coffin
basket-couch in coffin"
biàn,遍,"a time / everywhere / turn / all over / one time
everywhere / all over / classifier for actions: one time"
biàn,辨,to distinguish / to recognize
biàn,忭,delighted / pleased
biàn,辫,a braid or queue / to plait
biàn,卞,"(surname) / hurried
hurried"
biàn,汴,name of a river in Henan / Henan
biàn,辩,"dispute / debate / argue / discuss
to dispute / to debate / to argue / to discuss"
biàn,变,to change / to become different / to transform / to vary / rebellion
biàn,缏,braid
biàn,弁,"cap
(old) cap (garment) / military officer of low rank (in former times) / preceding"
biàn,便,"ordinary / plain / convenient / handy / easy / then / so / thus / to relieve oneself, advantageous / cheap
see 便宜|便宜[pian2 yi5]"
biāo,镳,"darts / escort / horsebit
horsebit / variant of 鏢|镖[biao1]"
biāo,镖,"a throwing weapon / dart
throwing weapon / dart / goods sent under the protection of an armed escort"
piǎo,膘,"fat of a stock animal
variant of 膘[biao1]"
biāo,髟,hair / shaggy
biāo,飙,"whirlwind
whirlwind / violent wind"
biāo,飑,whirlwind
biāo,标,"the topmost branches of a tree / surface / sign / to mark / (outward) sign / indication / prize / award / bid
mark / sign / label / to mark with a symbol, label, lettering etc / to bear (a brand name, registration number etc) / prize / award / bid / target / quota / (old) the topmost branches of a tree / visible symptom / classifier for military units"
biāo,彪,"a tiger-cat / stripes / streaks / veins
tiger stripes / tiger cub / (old) classifier for troops"
sháo,杓,"(star), ladle
ladle"
biǎo,裱,to hang (paper) / to mount (painting)
biǎo,表,"surface / exterior / to watch / to show / express / an example / a list or table / a meter / a watch / chart / external
wrist or pocket watch"
biǎo,婊,prostitute
biào,鳔,"air bladder of fish
swim bladder / air bladder of fish"
biē,鳖,"turtle
variant of 鱉|鳖[bie1]"
biē,憋,"hold in (urine) / to hold (breath) / to choke / stifle / restrain / hold back
to choke / to stifle / to restrain / to hold back / to hold in (urine) / to hold (one's breath)"
bié,蹩,limp
bié,别,"leave / depart / separate / distinguish / classify / other / another / do not / must not / to pin, contrary / difficult / awkward
to make sb change their ways, opinions etc"
piē,瘪,deflated / shriveled / sunken / empty
bīn,镔,fine steel
bīn,斌,"ornamental / refined
variant of 彬[bin1]"
bīn,彬,ornamental / refined
bìn,傧,best man / to entertain
bīn,豳,"name of an ancient city
name of an ancient county in Shaanxi / variant of 彬[bin1]"
bīn,濒,"near
to approach / to border on / near"
bīn,宾,visitor / guest / object (in grammar)
bīn,滨,shore / beach / coast / bank / to border on
bīn,缤,helter-skelter / mixed colors / in confusion
bīn,槟,"areca / the areca nut palm, areca
betel palm (Areca catechu) / betel nut / Taiwan pr. [bin1]"
bìn,摈,"reject / expel / discard / exclude / renounce
to reject / to expel / to discard / to exclude / to renounce"
bìn,鬓,temples / hair on the temples
bìn,膑,"kneecap / patella
variant of 髕|髌[bin4]"
bìn,髌,"kneecap
kneecapping / to cut or smash the kneecaps as corporal punishment"
bìn,殡,a funeral / to encoffin a corpse / to carry to burial
bīng,冰,"ice
variant of 冰[bing1]"
bīng,兵,soldiers / a force / an army / weapons / arms / military / warlike / CL:個|个[ge4]
bǐng,柄,"authority / handle / hilt
handle or shaft (of an axe etc) / (of a flower, leaf or fruit) stem / sth that affords an advantage to an opponent / classifier for knives or blades"
bǐng,丙,"the third of the ten heavenly stems / the third position / third / number three
third of the ten Heavenly Stems 十天干[shi2 tian1 gan1] / third in order / letter ""C"" or roman ""III"" in list ""A, B, C"", or ""I, II, III"" etc / ancient Chinese compass point: 165° / propyl"
bǐng,邴,"(surname) / ancient city name / happy
ancient city name / happy"
bǐng,炳,bright / brilliant / luminous
bǐng,饼,round flat cake / cookie / cake / pastry / CL:張|张[zhang1]
bǐng,秉,"(surname) / to grasp / hold / maintain
to grasp / to hold / to maintain"
bǐng,禀,"natural property or endowment / report to (a superior)
to make a report (to a superior) / to give / to endow / to receive / petition"
píng,屏,"get rid of / put aside / reject / keep control / hold back, (standing) screen
(standing) screen"
bìng,摒,"arrange / drive off / expel
to discard / to get rid of"
bìng,并,"and / furthermore / (not) at all / simultaneously / also / together with / to combine / to join / to merge, amalgamate / combine, and / also / together with
variant of 並|并[bing4]"
bìng,病,"ailment / sickness / illness / disease / fall ill / sick / defect
illness / CL:場|场[chang2] / disease / to fall ill / defect"
bǔ,卜,"turnip, to divine / foretell
see 蘿蔔|萝卜[luo2 bo5]"
bō,播,"sow / scatter / spread / broadcast
to sow / to scatter / to spread / to broadcast / Taiwan pr. [bo4]"
bō,菠,spinach
bō,波,wave / ripple / storm / surge
bō,钵,"alms bowl / small earthenware basin
variant of 缽|钵[bo1]"
bō,拨,"to push aside / to appropriate (money) / to move / to set aside / group / batch / to poke / to stir
to push aside with the hand, foot, a stick etc / to dial / to allocate / to set aside (money) / to poke (the fire) / to pluck (a string instrument) / to turn round / classifier: group, batch"
bō,玻,glass
bó,饽,cake / biscuit
bō,剥,"peel / to skin
to peel / to skin / to flay / to shuck"
bó,箔,"bamboo screen / door screen / metal foil / leaf / sheet / tinsel
plaited matting (of rushes, bamboo etc) / silkworm basket / metal foil / foil paper"
bó,伯,"father's elder brother / senior / paternal elder uncle / eldest of brothers / respectful form of address / Count, third of five orders of nobility 五等爵位[wu3 deng3 jue2 wei4]"
bó,亳,name of district in Anhui / capital of Yin
bó,踣,corpse / prostrate
bó,脖,neck
bó,礴,"fill / extend
to fill / to extend"
bó,泊,"to anchor / touch at / to moor
lake / Taiwan pr. [bo2]"
bó,膊,shoulder / upper arm
bó,鹁,woodpidgeon
bó,驳,"argue / parti-colored / tranship / dispute / contradict / refute, argue / parti-colored / tranship
variant of 駁|驳[bo2]"
bó,渤,"Gulf of Chili
same as 渤海[Bo2 Hai3], Bohai Sea between Liaoning and Shandong / Gulf of Zhili or Chihli"
bá,钹,cymbals
bó,舶,sea-going vessels / ship
bó,铂,"platinum
platinum (chemistry)"
bó,勃,flourishing / prosperous / suddenly / abruptly
bó,帛,silk
bó,博,"extensive / ample / rich / obtain / aim / to win / to get / rich / plentiful / to gamble
old variant of 博[bo2]"
bó,搏,"fight / combat / seize
to fight / to combat / to seize / (of heart) to beat"
bó,薄,"mean / slight / thin, thin / slight / meagre / small / ungenerous / unkind / mean / frivolous / despise / belittle / to approach / to go near / peppermint
see 薄荷[bo4 he5]"
bǒ,跛,"lame / crippled
to limp / lame / crippled"
bò,簸,"to winnow, dust pan / toss (as waves)
see 簸箕[bo4 ji1]"
bò,擘,"thumb / break / tear / pierce / split / to analyze
thumb / to break / to tear / to pierce / to split"
bò,檗,Phyllodendron amurense
bū,逋,"flee / abscond / owe
to flee / to abscond / to owe"
bū,晡,3-5 p.m.
bǔ,哺,"evening meal, feed
see 餔子|哺子[bu4 zi5]"
bú,醭,mold on liquids
bǔ,补,to repair / to patch / to mend / to make up for / to fill (a vacancy) / to supplement
bǔ,捕,to catch / to seize / to capture / to catch
bù,布,"diffuse / extend / notify, to declare / to announce / to spread / to make known / spread / (cotton) cloth
cloth / to declare / to announce / to spread / to make known"
bù,部,"ministry / department / section / part / division / troops / board / (a measure word) / (a measure word for works of literature, films, machines, etc.)"
bù,怖,terror / terrified / afraid / frightened
bù,簿,a book / a register / account-book
bù,埠,"a jetty / port / a city / quay
wharf / port / pier"
bù,步,a step / a pace / walk / march / stages in a process / situation
bù,不,(negative prefix) / not / no
cā,擦,to wipe / to erase / rubbing (brush stroke in painting) / to clean / to polish
cāi,猜,to guess
cái,裁,"cut out (as a dress) / cut / trim / reduce / diminish / decision / judgment
to cut out (as a dress) / to cut / to trim / to reduce / to diminish / to cut back (e.g. on staff) / decision / judgment"
cái,材,"material
material / timber / ability / aptitude / a capable individual / coffin (old)"
cái,才,"ability / talent / endowment / gift / an expert / only (then) / only if / just, just / not until
a moment ago / just now / (indicating sth happening later than expected) / (preceded by a clause of condition or reason) not until / (followed by a numerical clause) only"
cái,财,money / wealth / riches / property / valuables
cǎi,彩,"(bright) color / variety / applause / applaud / (lottery) prize, colored / variegated"
cǎi,睬,to pay attention / to take notice of / to care for
cǎi,踩,"step upon / tread on / stamp
to step on / to tread / to stamp / to press a pedal / to pedal (a bike)"
cǎi,采,"to pick / to pluck / to collect / to select / to choose / to gather, affairs / gather, allotment to a feudal noble
allotment to a feudal noble"
cài,菜,"dish (type of food) / vegetables
dish (type of food) / vegetable / cuisine / CL:盤|盘[pan2],道[dao4] / (coll.) (one's) type"
cài,蔡,surname Cai
cān,餐,"eat / meal
meal / to eat / classifier for meals"
cān,骖,outside horses of a team of 4
cān,参,"take part in / participate / join / attend / to join / unequal / varied / irregular / to counsel / uneven / not uniform, ginseng
variant of 參|参[shen1]"
cán,残,"destroy / spoil / ruin / injure / cruel / oppressive / savage / incomplete / disabled
to destroy / to spoil / to ruin / to injure / cruel / oppressive / savage / brutal / incomplete / disabled / to remain / to survive / remnant / surplus"
cán,蚕,silkworm
cán,惭,ashamed
cǎn,黪,"grey black
dark / dim / gloomy / bleak"
cǎn,惨,miserable / wretched / cruel / inhuman / disastrous / tragic / dim / gloomy
càn,灿,glorious / bright / brilliant / lustrous / resplendent
càn,璨,gem / luster of gem
càn,粲,beautiful / bright / splendid / smilingly
chán,孱,"dodger, coward / weak
weak / feeble / lowly"
cāng,伧,low fellow / rustic / rude / rough
cāng,舱,cabin / the hold of a ship or airplane
cāng,仓,barn / granary / storehouse / cabin / hold (in ship)
cāng,沧,"blue / green(color of water) / cold / vast (of water)
blue-green or azure (of water) / vast (of water) / cold"
cāng,苍,"dark blue / fly / musca / deep green
dark blue / deep green / ash-gray"
cáng,藏,"to hide away / to conceal / to harbor / store / accumulate, storehouse / depository / Buddhist or Taoist scripture / Zang / Tibet
storehouse / depository / Buddhist or Taoist scripture"
cāo,糙,rough / coarse (in texture)
cāo,操,"to hold / to drill / to exercise / to act / to do / to take in hand / to keep / to manage
variant of 肏[cao4]"
cáo,嘈,bustling / tumultuous / noisy
cáo,艚,sea-going junk
cáo,螬,larva of Mimela lucidula
cáo,漕,transport by water / watercourse / canal
cáo,槽,"manger / trough / groove
trough / manger / groove / channel / (Tw) (computing) hard drive"
cáo,曹,"a company / a class / a generation / (a surname)
class or grade / generation / plaintiff and defendant (old) / government department (old)"
cǎo,草,"grass / straw / draft (of a document) / careless / rough / manuscript / hasty
variant of 肏[cao4]"
cè,厕,"rest-room / toilet / lavatory
see 茅廁|茅厕[mao2 si5]"
cè,恻,sorrowful
cè,册,"book / a measure word for books / booklet
book / booklet / classifier for books"
cè,策,"method / plan / policy / scheme
variant of 策[ce4]"
cè,测,"side / to lean / to survey / to measure / conjecture
to survey / to measure / to conjecture"
cè,侧,"the side / to incline towards / to lean / inclined / lateral / side, lean on one side
lean on one side"
cén,涔,overflow / rainwater / tearful
cén,岑,"a small hill / (a surname)
small hill"
