,ch,py,en
32,对,dui4,couple/pair/to be opposite/to oppose/to face/for/to/correct (answer)/to answer/to reply/to direct (towards sth)/right
33,生,sheng1,to be born/to give birth/life/to grow
34,能,neng2,can/may/capable/energy/able
35,而,er2,and/as well as/but (not)/yet (not)/(shows causal relation)/(shows change of state)/(shows contrast)
36,子,zi3/zi,"11 p.m.-1 a.m./1st earthly branch/child/midnight/son/child/seed/egg/small thing, (noun suff.)"
37,那,na3/na4/nei4,"how/which, that/those, that/those/(sometimes used before a measure word, especially in Beijing)"
38,得,de2/de/dei3,"obtain/get/gain/proper/suitable/proud/contented/allow/permit/ready/finished, a sentence particle used after a verb to show effect/degree or possibility, to have to/must/ought to/to need to"
39,于,yu2,"(surname), in/at/to/from/by/than/out of"
40,着,zhao1/zhao2/zhe/zhu4/zhuo2,"catch/receive/suffer, part. indicates the successful result of a verb/to touch/to come in contact with/to feel/to be affected by/to catch fire/to fall asleep/to burn, -ing part. (indicates an action in progress)/part. coverb-forming after some verbs, to make known/to show/to prove/to write/book/outstanding, to wear (clothes)/to contact/to use/to apply"
41,下,xia4,"under/second (of two parts)/next (week, etc.)/lower/below/underneath/down(wards)/to decline/to go down/latter"
42,自,zi4,from/self/oneself/since
43,之,zhi1,(literary equivalent of 的)/(subor. part.)/him/her/it
44,年,nian2,year
45,过,guo4,(experienced action marker)/to cross/to go over/to pass (time)/to celebrate (a holiday)/to live/to get along/(surname)/excessively/too-
46,发,fa1/fa4,"to send out/to show (one's feeling)/to issue/to develop, hair"
47,后,hou4,"empress/queen/surname, back/behind/rear/afterwards/after/later"
48,作,zuo4,to regard as/to take (somebody) for/to do/to make
49,里,li3,"inside/internal/interior, village/within/inside, Chinese mile/neighborhood/li, a Chinese unit of length = one-half kilometer/hometown"
50,用,yong4,to use
51,道,dao4,direction/way/method/road/path/principle/truth/reason/skill/method/Tao (of Taoism)/a measure word/to say/to speak/to talk
52,行,hang2/xing2/xing4,"a row/profession/professional, all right/capable/competent/OK/okay/to go/to do/to travel/temporary/to walk/to go/will do, behavior/conduct"
53,所,suo3,actually/place
54,然,ran2,correct/right/so/thus/like this/-ly
55,家,jia1,"furniture/tool, -ist/-er/-ian/home/family/a person engaged in a certain art or profession"
56,种,zhong3/zhong4,"kind/type/race/breed/seed/species (taxonomy), to plant/to cultivate"
57,事,shi4,matter/thing/item/work/affair
58,成,cheng2/cheng4,"finish/complete/accomplish/become/turn into/win/succeed/one tenth, finish/complete/accomplish/become/turn into/win/succeed/one tenth"
59,方,fang1,square/quadrilateral/direction/just
60,多,duo1,many/much/a lot of/numerous/multi-
61,经,jing1,classics/sacred book/pass through/to undergo/scripture
62,么,ma/me/yao1,"(interrog. part.), (interrog. suff.), one on dice/small"
63,去,qu4,to go/to leave/to remove
64,法,fa3,law/method/way/Buddhist teaching/Legalist/France (abbrev.)
65,学,xue2,learn/study/science/-ology
66,如,ru2,as (if)/such as
67,都,dou1/du1,"all/both (if two things are involved)/entirely (due to)each/even/already, (surname)/metropolis/capital city"
68,同,tong2,like/same/similar/together/alike/with
69,现,xian4,appear/present/now/existing/current
70,当,dang1/dang4,"to be/to act as/manage/withstand/when/during/ought/should/match equally/equal/same/obstruct/just at (a time or place)/on the spot/right/just at, at or in the very same.../to pawn/suitable/adequate/fitting/proper/replace/represent"
71,没,mei2/mo4,"(negative prefix for verbs)/have not/not, drowned/to end/to die/to inundate"
72,动,dong4,to use/to act/to move/to change
73,面,mian4,"fade/side/surface/aspect/top/face/flour/noodles, flour/noodles"
74,起,qi3,to rise/to raise/to get up
75,看,kan1/kan4,"to look after/to take care of/to watch/to guard, it depends/think/to see/to look at"
76,定,ding4,to set/to fix/to determine/to decide/to order
77,天,tian1,day/sky/heaven
78,分,fen1/fen4,"to divide/minute/(a measure word)/(a unit of length = 0.33 centimeter), part"
79,还,hai2/huan2/huan4,"also/in addition/more/still/else/still/yet/(not) yet, (surname)/pay back/return"
80,进,jin4,advance/enter/to come in
81,好,hao3/hao4,"good/well, be fond of"
82,小,xiao3,small/tiny/few/young
83,部,bu4,"ministry/department/section/part/division/troops/board/(a measure word)/(a measure word for works of literature, films, machines, etc.)"
84,其,qi2,his/her/its/theirs/that/such/it (refers to sth preceding it)
85,些,xie1,some/few/several/(a measure word)
86,主,zhu3,to own/to host/master/lord/primary
87,样,yang4,manner/pattern/way/appearance/shape
88,理,li3,reason/logic/science/inner principle or structure
89,心,xin1,heart/mind
90,她,ta1,she
91,本,ben3,roots or stems of plants/origin/source/this/the current/root/foundation/basis/(a measure word)
92,前,qian2,before/in front/ago/former/previous/earlier/front
93,开,kai1,open/operate (vehicle)/start
94,但,dan4,but/yet/however/only/merely/still
95,因,yin1,cause/reason/because
96,只,qi2/zhi1/zhi3,"earth-spirit/peace, (a measure word, for birds and some animals, etc.)/single/only, M for one of a pair, only/merely/just/but, but/only"
97,从,cong1/cong2/zong4,"lax/yielding/unhurried, from/obey/observe/follow, second cousin"
98,想,xiang3,to think/to believe/to suppose/to wish/to want/to miss
99,实,shi2,real/true/honest/really/solid
100,日,ri4,Japan/day/sun/date/day of the month
101,军,jun1,army/military/arms
102,者,zhe3,"-ist, -er (person)/person (who does sth)"
103,意,yi4,idea/meaning/wish/desire/(abbr.) Italy
104,无,wu2,-less/not to have/no/none/not/to lack/un-
105,力,li4,power/force/strength
106,它,ta1,it
107,与,yu2/yu3/yu4,"(interrog. part.), and/to give/together with, take part in"
108,长,chang2/zhang3,"length/long/forever/always/constantly, chief/head/elder/to grow/to develop"
109,把,ba3/ba4,"(a measure word)/(marker for direct-object)/to hold/to contain/to grasp/to take hold of, handle"
110,机,ji1,machine/opportunity/secret
111,十,shi2,ten/10
112,民,min2,the people/nationality/citizen
113,第,di4,"(prefix before a number, for ordering numbers, e.g. ""first"", ""number two"", etc)"
114,公,gong1,just/honorable (designation)/public/common
115,此,ci3,this/these
116,已,yi3,already/to stop/then/afterwards
117,工,gong1,work/worker/skill/profession/trade/craft/labor
118,使,shi3,to make/to cause/to enable/to use/to employ/messenger
119,情,qing2,feeling/emotion/passion/situation
120,明,ming2,clear/bright/to understand/next/the Ming dynasty
121,性,xing4,sex/nature/surname/suffix corresponding to -ness or -ity
122,知,zhi1,to know/to be aware
123,全,quan2,all/whole/entire/every/complete
124,三,san1,three/3
125,又,you4,(once) again/also/both... and.../again
126,关,guan1,(surname)/mountain pass/to close/to shut/to turn off/to concern/to involve
127,点,dian3,(downwards-right convex character stroke)/o'clock/(a measure word)/point/dot/(decimal) point)
128,正,zheng1/zheng4,"Chinese 1st month of year, just (right)/main/upright/straight/correct/principle"
129,业,ye4,business/occupation/study
130,外,wai4,outside/in addition/foreign/external
131,将,jiang1/jiang4,"(will, shall, ""future tense"")/ready/prepared/to get/to use, a general"
132,两,liang3,both/two/ounce/some/a few/tael
133,高,gao1,high/tall
134,间,jian1/jian4,"between/among/space/(measure word), interstice/separate"
135,由,you2,follow/from/it is for...to/reason/cause/because of/due to/by/to/to leave it (to sb)
136,问,wen4,to ask
137,很,hen3,very/extremely
138,最,zui4,(the) most/-est
139,重,chong2/zhong4,"to double/to repeat/repetition/iteration/again/a layer, heavy/serious"
140,并,bing4,"and/furthermore/(not) at all/simultaneously/also/together with/to combine/to join/to merge, amalgamate/combine, and/also/together with"
141,物,wu4,thing/object/matter
142,手,shou3,hand/convenient
143,应,ying1/ying4,"ought, (surname)/to answer/to respond"
144,战,zhan4,to fight/fight/war/battle
145,向,xiang4,"direction/part/side/towards/to/guide/opposite to, guide/opposite to"
146,头,tou2/tou,"head, suff. for nouns"
147,文,wen2,language/culture/writing/formal/literary
148,体,ti3,body/form/style/system
149,政,zheng4,political/politics/government
150,美,mei3,America/beautiful
151,相,xiang1/xiang4,"each other/one another/mutually, appearance/portrait/picture"
152,见,jian4/xian4,"to see/to meet/to appear (to be sth)/to interview, appear"
153,被,bei4,by (marker for passive-voice sentences or clauses)/quilt/blanket/to cover/to wear
154,利,li4,advantage/benefit/profit/sharp
155,什,shen2/shi2,"what, tenth (used in fractions)"
156,二,er4,two/2
157,等,deng3,class/rank/grade/equal to/same as/wait for/await/et cetera/and so on
158,产,chan3,to reproduce/to produce/give birth/products/produce/resources/estate/property
159,或,huo4,maybe/perhaps/might/possibly/or
160,新,xin1,meso- (chem.)/new/newly
161,己,ji3,6th heavenly stem/self
162,制,zhi4,"system/to make/to manufacture/to control/to regulate, manufacture"
163,身,shen1,body/torso/person/life/status/pregnancy/(a measure word used for clothes) suit
164,果,guo3,fruit/result
165,加,jia1,to add/plus
166,西,xi1,west
167,斯,si1,(phonetic)/this
168,月,yue4,moon/month
169,话,hua4,dialect/language/spoken words/speech/talk/words/conversation/what someone said
170,合,ge3/he2,"one-tenth of a peck, Chinese musical note/fit/to join"
171,回,hui2,(a measure word for matters or actions) a time/to circle/to go back/to turn around/to answer/to return/to revolve/Islam
172,特,te2/te4,"special/unusual/extraordinary, male animal/special (-ly)"
173,代,dai4,substitute/replace/generation/dynasty/geological era/era/age/period
174,内,nei4,inside/inner/internal/within/interior
175,信,xin4,letter/true/to believe/sign/evidence
176,表,biao3,surface/exterior/to watch/to show/express/an example/a list or table/a meter/a watch/chart/external
177,化,hua4,to make into/to change into/-ization/to ... -ize/to transform
178,老,lao3,(a prefix used before the surname of a person or a numeral indicating the order of birth of the children in a family to indicate affection or familiarity)/old (of people)
179,给,gei3/ji3,"to/for/for the benefit of/to give/to allow/to do sth (for sb)/(passive particle), to supply/provide"
180,世,shi4,life/age/generation/era/world/lifetime
181,位,wei4,position/location/(measure word for persons)/place/seat
182,次,ci4,nth/number (of times)/order/sequence/next/second(ary)/(measure word)
183,度,du4,capacity/degree/standard
184,门,men2,opening/door/gate/doorway/gateway/valve/switch/way to do something/knack/family/house/(religious) sect/school (of thought)/class/category/phylum or division (taxonomy)
185,任,ren4,to assign/to appoint/office/responsibility
186,常,chang2,always/ever/often/frequently/common/general/constant
187,先,xian1,early/prior/former/in advance/first
188,海,hai3,ocean/sea
189,通,tong1,go through/know well/to connect/to communicate/open
190,教,jiao1/jiao4,"teach, religion/teaching"
191,儿,er2/er,"son, non-syllabic dimi. suff."
192,原,yuan2,former/original/primary/raw/level/cause/source
193,东,dong1,east
194,声,sheng1,"sound/voice/(a measure word, used for sounds)/tone/noise"
195,提,di1/ti2,"carry (suspended), to carry/to lift/to put forward/(upwards character stroke)/lifting (brush stroke in painting)/to mention"
196,立,li4,set up/to stand
197,及,ji2,to reach/and
198,比,bi3/bi4,"(particle used for comparison and ""-er than"")/to compare/to contrast/to gesture (with hands)/ratio, associate with/be near"
199,员,yuan2,person/employee/member
200,解,jie3/jie4/xie4,"to separate/to divide/to break up/to loosen/to explain/to untie/to emancipate, transport under guard, (surname)"
201,水,shui3,water/river
202,名,ming2,name/(measure word for persons)/place (e.g. among winners)
203,真,zhen1,real/true/genuine
204,论,lun2/lun4,"the Analects (of Confucius), by the/per/discuss/theory/to talk (about)/to discuss"
205,处,chu3/chu4,"to reside/to live/to dwell/to be in/to stay/get along with/to be in a position of/deal with, a place/location/spot/point/office/department/bureau/respect"
206,走,zou3,to walk/to go/to move
207,义,yi4,justice/righteousness/meaning
208,各,ge4,each/every
209,入,ru4,to enter
210,几,ji1/ji3,"small table, almost, a few/how many, how much/how many/several/a few"
211,口,kou3,mouth/(a measure word)
212,认,ren4,to recognize/to know/to admit
213,条,tiao2,"measure word for long, thin things (i.e. ribbon, river, etc.)/a strip/item/article"
214,平,ping2,flat/level/equal/to make the same score/to tie/to draw/calm/peaceful
215,系,xi4,"be/connection/relation/tie up/bind, be/system/to tie/department/faculty, connect/to tie"
216,气,qi4,"air/anger/gas, gas/air/smell/weather/vital breath/to make sb. angry/to get angry/to be enraged"
217,题,ti2,topic/subject/to inscribe/to superscribe
218,活,huo2,to live/alive/living/work/workmanship
219,尔,er3,thus/so/like that/you/thou
220,更,geng1/geng4,"to change, more/even more/further/still/still more"
221,别,bie2/bie4,"leave/depart/separate/distinguish/classify/other/another/do not/must not/to pin, contrary/difficult/awkward"
222,打,da2/da3,"dozen, beat/strike/break/mix up/build/fight/fetch/make/tie up/issue/shoot/calculate/since/from"
223,女,nu:3/nv3,female/woman
224,变,bian4,to change/to become different/to transform/to vary/rebellion
225,四,si4,four/4
226,神,shen2,God/unusual/mysterious/soul/spirit/divine essence/lively/spiritual being
227,总,zong3,always/to assemble/gather/total/overall/head/chief/general/in every case
228,何,he2,carry/what/how/why/which
229,电,dian4,electric/electricity/electrical
230,数,shu3/shu4/shuo4,"to count, number/figure/to count/to calculate/several, frequently/repeatedly"
231,安,an1,content/calm/still/quiet/to pacify/peace
232,少,shao3/shao4,"few/little/lack, young"
233,报,bao4,to announce/to inform/report/newspaper/recompense/revenge
234,才,cai2,"ability/talent/endowment/gift/an expert/only (then)/only if/just, just/not until"
235,结,jie1/jie2,knot/sturdy/to bear (fruit)/bond/to tie/to bind
236,反,fan3,wrong side out or up/anti-
237,受,shou4,to bear/to stand/to endure/(passive marker)/to receive
238,目,mu4,eye/item/section/list/catalogue/table of contents/order (taxonomy)/goal/name/title
239,太,tai4,highest/greatest/too (much)/very/extremely
240,量,liang2/liang4,"to measure, capacity/quantity/amount/to estimate"
241,再,zai4,again/once more/re-/second/another
242,感,gan3,to feel/to move/to touch/to affect
243,建,jian4,to establish/to found/to set up/to build/to construct
244,务,wu4,affair/business/matter
245,做,zuo4,to do/to make/to produce
246,接,jie1,to extend/to connect/to receive/to join
247,必,bi4,certainly/must/will/necessarily
248,场,chang3,"a courtyard/open space/place/field/a measure word/(a measure word, used for sport or recreation)"
249,件,jian4,"a measure word for thing, clothes, item"
250,计,ji4,to calculate/to compute/to count/reckon/ruse/to plan
251,管,guan3,to take care (of)/to control/to manage/to be in charge of/to look after/to run/tube/pipe
252,期,qi1,"a period of time/phase/stage/(used for issue of a periodical, courses of study)/time/term/period/to hope"
253,市,shi4,market/city
254,直,zhi2,straight/vertical/frank/directly/straightly/upright
255,德,de2,Germany/virtue/goodness/morality/ethics/kindness/favor/character/kind
256,资,zi1,resources/capital/to provide/to supply/to support/money/expense
257,命,ming4,life/fate
258,山,shan1,mountain/hill
259,金,jin1,metal/money/gold
260,指,zhi3,finger/to point/to direct/to indicate
261,克,ke4,"gram/subdue/to restrain/to overcome, subdue"
262,许,xu3,to allow/to permit/to praise/(surname)
263,统,tong3,to gather/to unite/to unify/whole
264,区,ou1/qu1,"Ou (surname), area/region/district/small/distinguish"
265,保,bao3,to defend/to protect/to insure or guarantee/to maintain/hold or keep/to guard
266,至,zhi4,arrive/most/to/until
267,队,dui4,squadron/team/group
268,形,xing2,to appear/to look/form/shape
269,社,she4,society/group
270,便,bian4/pian2,"ordinary/plain/convenient/handy/easy/then/so/thus/to relieve oneself, advantageous/cheap"
271,空,kong1/kong4,"air/sky/empty/in vain, emptied/leisure"
272,决,jue2,breach (a dyke)/to decide/to determine
273,治,zhi4,to rule/to govern/to manage/to control/to harness (a river)/cure/treatment/to heal
274,展,zhan3,to use/to spread out/to postpone/to unfold
275,马,ma3,horse/horse chess piece/Surname
276,科,ke1,"branch of study/administrative section/division/field/branch/stage directions/family (taxonomy)/rules/laws/to mete out (punishment)/to levy (taxes, etc.)/to fine somebody"
277,司,si1,company/control
278,五,wu3,five/5
279,基,ji1,base/foundation/basic/radical (chem.)
280,眼,yan3,eye
281,书,shu1,book/letter
282,非,fei1,non-/not-/un-
283,则,ze2,(expresses contrast with a previous sentence or clause)/standard/norm/rule/to imitate/to follow/then/principle
284,听,ting1/ting4,"listen/hear/obey, let/allow"
285,白,bai2,white/snowy/empty/blank/bright/clear/plain/pure/gratuitous
286,却,que4,but/yet/however/while/to go back/to decline/to retreat/nevertheless
287,界,jie4,boundary/scope/extent/circles/group/kingdom (taxonomy)
288,达,da2,attain/pass through/achieve/reach/realize/clear/inform/notify/dignity
289,光,guang1,light/ray/bright
290,放,fang4,to release/to free/to let go/to put/to place/to let out
291,强,qiang2,strength/force/power/powerful/better
292,即,ji2,namely/right away/to approach/to draw near
293,像,xiang4,(look) like/similar (to)/appearance/to appear/to seem/image/portrait/resemble/seem
294,难,nan2/nan4,"difficult (to...)/problem/difficulty/difficult/not good, disaster/distress/to scold"
295,且,qie3,further/moreover
296,权,quan2,authority/power/right
297,思,si1,to think/to consider
298,王,wang2,king/Wang (proper name)
299,象,xiang4,shape/form/appearance/elephant/image under a map (math.)
300,完,wan2,to finish/to be over/whole/complete/entire
301,设,she4,to set up/to arrange/to establish/to found/to display
302,式,shi4,type/form/pattern/style
303,色,se4/shai3,"color/look/appearance, color/dice"
304,路,lu4,(surname)/road/path/way
305,记,ji4,to remember/to note/mark/sign/to record
306,南,nan2,south
307,品,pin3,conduct/grade/thing/product/good
308,住,zhu4,to live/to dwell/to reside/to stop
309,告,gao4,to tell/to inform/to say
310,类,lei4,kind/type/class/category/similar/like/to resemble
311,求,qiu2,to seek/to look for/to request/to demand/to beseech
312,据,ju1/ju4,"sickness of hand, act in accordance with/seize, according to/to act in accordance with/to depend on/to seize/to occupy"
313,程,cheng2,rule/order/regulations/formula/journey/procedure/sequence/a surname
314,北,bei3,north
315,边,bian1,side/edge/margin/border/boundary
316,死,si3,to die/inpassable/uncrossable/inflexible/rigid
317,张,zhang1,(a measure word)/(a surname)/open up
318,该,gai1,that/the above-mentioned/most likely/to deserve/should/ought to/owe
319,交,jiao1,to deliver/to turn over/to make friends/to intersect (lines)/to pay (money)
320,规,gui1,compass/rule
321,万,wan4,Wan (surname)/ten thousand/a great number
322,取,qu3,to take/to get/to choose/to fetch
323,拉,la1,to pull/to play (string instruments)/to drag/to draw
324,格,ge2,frame/rule
325,望,wang4,hope/expect/to visit/to gaze (into the distance)/look towards/towards
326,觉,jiao4/jue2,"a nap/a sleep, feel/find that/thinking/awake/aware"
327,术,shu4/zhu2,"method/technique, Atractylis lancea var. ovata"
328,领,ling3,neck/collar/to lead/to receive
329,共,gong4,all together/in while/to share/common/general/together
330,确,que4,"authenticated/solid/firm, authenticated/solid/firm/real/true"
331,传,chuan2/zhuan4,"to pass on/to spread/to transmit/to infect/to transfer/to circulate/to pass on/to conduct (electricity), biography"
332,师,shi1,a division (milit.)/teacher/master/expert/model
333,观,guan1/guan4,"to look at/to watch/to observe/to behold, Taoist monastery"
334,清,qing1,clear/distinct/complete/pure
335,今,jin1,today/modern/present/current/this/now
336,切,qie1/qie4,"to cut/to slice, close to"
337,院,yuan4,courtyard/institution
338,让,rang4,to ask/to let/permit/have (someone do something)/to yield/to allow
339,识,shi2/zhi4,"to know/knowledge, to record/write a footnote"
340,候,hou4,wait
341,带,dai4,band/belt/girdle/ribbon/area/zone/region/wear/carry/lead/bring/consists of/show/and
342,导,dao3,to transmit/to lead/to guide/to conduct/to direct
343,争,zheng1,struggle/fight
344,运,yun4,to move/to transport/to use/to apply/fortune/luck/fate
345,笑,xiao4,laugh/smile
346,飞,fei1,to fly
347,风,feng1,wind/news/style/custom/manner
348,步,bu4,a step/a pace/walk/march/stages in a process
349,改,gai3,to change/to alter/to transform/to correct
350,收,shou1,to receive/to accept/to collect/in care of (used on address line after name)
351,根,gen1,radical (chem.)/root/basis
352,干,gan1/gan4,"dry/to concern/shield, to work/to do/to manage, manage/stem"
353,造,zao4,to make/to build/to invent/to manufacture
354,言,yan2,to speak/to say/talk/word
355,联,lian2,to ally/to unite/to join
356,持,chi2,to grasp/to hold/support/manage/direct/maintain
357,组,zu3,to form/compose/make up/group/to organize/cord
358,每,mei3,each/every
359,济,ji4,aid/ferry/frugal
360,车,che1/ju1,"car/a vehicle/machine/to shape with a lathe, vehicle on land"
361,亲,qin1/qing4,"dear/intimate/parent/relation/closely related, parents-in-law of one's offspring"
362,极,ji2,"extremely/pole (geography, physics)/utmost/top"
363,林,lin2,woods/forest
364,服,fu2,clothes/dress/garment/submit/take (medicine)
365,快,kuai4,fast/quick/swift
366,办,ban4,to do/to manage/to handle/to go about/to run/to set up/to deal with
367,议,yi4,criticize/discuss
368,往,wang3/wang4,"to go (in a direction)/past/previous/towards, toward/(of a train) bound for"
369,元,yuan2,(dynasty)/dollar/primary/first
370,英,ying1,(surname)/English/brave
371,士,shi4,scholar/warrior/knight
372,证,zheng4,"prove, confirm, verify/proof, certificate/proof/to prove/to demonstrate/to confirm/certificate/proof"
373,近,jin4,near/close (to)/approximately
374,失,shi1,to lose/to miss/to fail
375,转,zhuan3/zhuan4,"to convey/to forward (mail)/to transfer/to turn/to shift, to revolve/to turn/to circle about/to walk about"
376,夫,fu1,"porter, husband/man"
377,令,ling4,make or cause to be/order/command/decree/honorable
378,准,zhun3,"to allow/to grant/to permit/accurate/standard, accurate/standard"
379,布,bu4,"diffuse/extend/notify, to declare/to announce/to spread/to make known/spread/(cotton) cloth"
380,始,shi3,begin
381,怎,zen3,how
382,呢,ne/ni2,"(question particle), woolen material"
383,存,cun2,exist/deposit/store/keep/survive
384,未,wei4,1-3 p.m./8th earthly branch/not yet/did not/have not/not
385,远,yuan3,far/distant/remote
386,叫,jiao4,to (be) call(ed)
387,台,tai2,"surname/(classical) you (in letters)/platform/Taiwan (abbr.), desk/platform, (measure word)/platform/stage/terrace/stand/support/desk/station/broadcasting station, typhoon"
388,单,chan2/dan1/shan4,"chieftain, bill/list/form/single/only/sole, (surname)"
389,影,ying3,picture/image/reflection/shadow
390,具,ju4,tool/device/utensil/equipment/instrument
391,罗,luo1/luo2,"fussy/talkative, subordinate in a gang of bandits, (surname)/gauze/to collect/to gather/to catch/to shift"
392,字,zi4,letter/symbol/character/word
393,爱,ai4,to love/affection/to be fond of/to like
394,击,ji1,to hit/to strike/to break
395,流,liu2,to flow/to spread/to circulate/to move
396,备,bei4,to prepare/get ready/to provide or equip
397,兵,bing1,soldiers/a force/an army/weapons/arms/military/warlike
398,连,lian2,(surname)/even/as/join/to link/successively
399,调,diao4/tiao2,"mode (music)/to move (troops)/tune/tone/melody/to transfer, harmonize/reconcile/blend/suit well/provoke/incite"
400,深,shen1,deep/profound
401,商,shang1,commerce/consult
402,算,suan4,regard as/to figure/to calculate/to compute
403,质,zhi4,hostage/substance/nature/quality
404,团,tuan2,"regiment/round/circular/group/society, dumpling"
405,集,ji2,to gather/to collect/collected works
406,百,bai3,hundred
407,需,xu1,to require/to need/to want/necessity/need
408,价,jia4/jie,"price/value/valence (on an atom), great/good/middleman/servant"
409,花,hua1,"flower/blossom/to spend (money, time)/fancy pattern"
410,党,dang3,"party, party/association/club/society"
411,华,hua2/hua4,"(abbreviation for) China/(surname) Hua/magnificent/splendid/flowery, (surname)/name of a mountain"
412,城,cheng2,city walls/city/town
413,石,dan4/shi2,"10 pecks, rock/stone"
414,级,ji2,level/grade/rank/step
415,整,zheng3,exactly/in good order/whole/complete/entire/in order/orderly
416,府,fu3,prefecture/mansion
417,离,li2,to leave/to depart/to go away/from
418,况,kuang4,moreover/situation
419,亚,ya4,Asia/Asian/second/next to/inferior
420,请,qing3,"to ask/to invite/please (do sth)/to treat (to a meal, etc)/to request"
421,技,ji4,skill
422,际,ji4,border/edge/boundary/between/among/interval/while
423,约,yao1/yue1,"weigh, appointment/agreement/to arrange/to restrict/approximately"
424,示,shi4,to show/reveal
425,复,fu4,"again/recover/reply to a letter/to repeat/to duplicate, repeat, double, overlap"
426,病,bing4,ailment/sickness/illness/disease/fall ill/sick/defect
427,息,xi1,news/interest/breath/rest
428,究,jiu1,after all/to investigate/to study carefully
429,线,xian4,thread/string/wire/line
430,似,si4,to seem/to appear/similar/like/to resemble
431,官,guan1,official/government
432,火,huo3,fire
433,断,duan4,absolutely/decidedly (in negative constructions)/break/to judge
434,精,jing1,energy/perfect/excellent/refined/very/proficient
435,满,man3,Manchurian/to fill/to fulfill/filled/packed
436,支,zhi1,(a measure word)/to support/to sustain/to erect/to raise/branch/division/to draw money
437,视,shi4,to look at/to regard/to inspect
438,消,xiao1,consume/news/subside/to disappear/to vanish
439,越,yue4,to exceed/to climb over/to surpass/the more ... the more
440,器,qi4,device/tool/utensil
441,容,rong2,to hold/to contain/to allow/appearance/look/countenance
442,照,zhao4,according to/in accordance with/to shine/to illuminate/to reflect/photograph
443,须,xu1,"beard/necessary/must, beard/mustache"
444,九,jiu3,nine/9
445,增,zeng1,to increase/to expand/to add
446,研,yan2,grind fine/study/research
447,写,xie3,to write
448,称,chen4/cheng1/cheng4,"balanced/to fit/well-off/suitable, to call/to praise/to weigh/to estimate/to consider/to call/to address/to name/to say/commend, steelyard"
449,企,qi3,plan a project/stand on tiptoe
450,八,ba1,eight/8
451,功,gong1,merit/achievement/result/service/accomplishment
452,吗,ma3/ma,"morphine, (question tag)"
453,包,bao1,to cover/to wrap/to hold/to include/to take charge of/package/wrapper/container/bag/to hold or embrace/bundle/packet/to contract (to or for)
454,片,pian1/pian4,"disc/sheet, a slice/piece/flake/thin/slice"
455,史,shi3,history
456,委,wei1/wei3,"crooked, give up/indeed/to commission"
457,乎,hu1,(interrog. part.)
458,查,cha2/zha1,"to research/to check/to investigate/to examine/to refer to/to search, (surname)"
459,轻,qing1,light/easy/gentle/soft/reckless/unimportant/frivolous/small in number/unstressed/neutral/soft
460,易,yi4,(surname)/change/easy/simple
461,早,zao3,early/morning
462,曾,ceng2/zeng1,"(refers to something that happened previously)/already/at some time in the past/before/once, (surname)/great-grand (father)"
463,除,chu2,remove/do away with/wipe out/divide/except
464,农,nong2,agriculture
465,找,zhao3,to try to find/to look for/to call on (sb)/to find/to seek/to return/to look for
466,装,zhuang1,adornment/adorn/costume/dress/clothing
467,广,guang3,wide/numerous/to spread
468,显,xian3,prominent/conspicuous
469,吧,ba1/ba,"(onomat.)/dumb, (modal particle indicating polite suggestion)/...right?/...OK?"
